Generator,Resource,Time,Size,Variables,Generated Energy annealer,Status annealer,Cost annealer,QPU access time [s],QPU charge time [s],QPU run time [s],Generated Energy classical,Generator status classical,Classical cost,Classical execution time [s],Iteration
10,natural_gas_fired_combustion_turbine,0,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,1,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,10,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,11,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,12,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,13,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,14,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,15,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,16,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,17,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,18,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,22.0,1.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,19,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,2,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,20,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,21,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,22.0,1.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,22,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,23,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,3,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,4,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,5,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,6,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,7,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,8,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
10,natural_gas_fired_combustion_turbine,9,240,480,22.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,0,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,1,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,10,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,11,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,12,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,13,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,14,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,15,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,16,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,17,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,18,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,19,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,2,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,20,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,21,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,22,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,23,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,3,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,4,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,5,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,6,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,7,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,8,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,9,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
