Generators,Resources,Periods,Problem size,Generated energy variable annealer,Commitment variable annealer,Start variable annealer,Shut variable annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time
0,biomass,0,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,1,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,10,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,11,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,12,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,13,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,14,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,15,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,16,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,17,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,18,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,19,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,2,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,20,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,21,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,22,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,23,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,3,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,4,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,5,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,6,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,7,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,8,480,21.0,,,,1420283.852700003,32042,4927230,4927230
0,biomass,9,480,21.0,,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,0,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,1,480,48.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,10,480,37.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,11,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,12,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,13,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,14,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,15,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,16,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,17,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,18,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,19,480,48.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,2,480,47.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,20,480,42.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,21,480,44.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,22,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,23,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,3,480,48.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,4,480,37.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,5,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,6,480,23.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,8,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
10,natural_gas_fired_combustion_turbine,9,480,22.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,0,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,1,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,10,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,11,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,12,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,13,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,14,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,15,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,16,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,17,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,18,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,19,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,2,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,20,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,21,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,22,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,23,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,3,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,4,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,5,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,6,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,8,480,34.0,1.0,,,1420283.852700003,32042,4927230,4927230
11,natural_gas_fired_combustion_turbine,9,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,0,480,93.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,1,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,10,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,11,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,12,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,13,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,14,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,15,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,16,480,92.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,17,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,18,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,19,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,2,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,20,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,21,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,22,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,23,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,3,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,4,480,96.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,5,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,6,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,7,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,8,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
12,natural_gas_fired_combustion_turbine,9,480,91.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,0,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,1,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,10,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,11,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,12,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,13,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,14,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,15,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,16,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,17,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,18,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,19,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,2,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,20,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,21,480,4.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,22,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,23,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,3,480,4.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,4,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,5,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,6,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,7,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,8,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
13,natural_gas_fired_combustion_turbine,9,480,3.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,0,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,1,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,10,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,11,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,12,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,13,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,14,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,15,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,16,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,17,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,18,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,19,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,2,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,20,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,21,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,22,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,23,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,3,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,4,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,5,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,6,480,14.0,1.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,8,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
14,natural_gas_fired_combustion_turbine,9,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,0,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,1,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,10,480,18.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,11,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,12,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,13,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,14,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,15,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,16,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,17,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,18,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,19,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,2,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,20,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,21,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,22,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,23,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,3,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,4,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,5,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,6,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,7,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,8,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
15,natural_gas_fired_combustion_turbine,9,480,17.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,0,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,1,480,94.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,10,480,15.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,11,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,12,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,13,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,14,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,15,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,16,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,17,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,18,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,19,480,4.0,1.0,,,1420283.852700003,32042,4927230,4927230
