Generators,Resources,Periods,Problem size,Number of variables,Generated energy annealer,Commitment annealer,Start-up annealer,Shut-down annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time,Generated energy classical,Commitment classical,Operational cost classical,CPU time
0,biomass,0,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,1,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,10,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,11,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,12,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,13,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,14,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,15,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,16,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,17,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,18,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,19,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,2,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,20,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,21,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,22,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
0,biomass,23,480,912,21.0,,,,1414906.7786000026,0.032043,5000000,5389736,21.0,,1376229.4403000025,0.26909623199753696
