Generators,Resources,Periods,Problem size,Number of variables,Generated energy annealer,Commitment annealer,Start-up annealer,Shut-down annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time,Generated energy classical,Commitment classical,Start-up classical,Shut classical,Operational cost classical,CPU time
0,biomass,0,480,1776,4.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,1,480,1776,20.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,10,480,1776,13.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,11,480,1776,11.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,12,480,1776,21.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,13,480,1776,16.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,14,480,1776,6.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,15,480,1776,18.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,16,480,1776,4.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,17,480,1776,9.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,18,480,1776,21.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,19,480,1776,17.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,2,480,1776,3.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,20,480,1776,11.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,21,480,1776,16.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,22,480,1776,4.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,23,480,1776,13.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,3,480,1776,20.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,4,480,1776,19.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,5,480,1776,21.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,6,480,1776,10.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,7,480,1776,8.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,8,480,1776,19.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
0,biomass,9,480,1776,21.0,,,,1560705.0019,0.016049,5000000,5069315,21.0,,,,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,0,480,1776,45.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,1.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,1,480,1776,47.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,48.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,10,480,1776,24.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,11,480,1776,30.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,12,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
